Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_DENIZEN,,Denizen,住人,Bewohner,Habitant,Habitante,Habitante,Обитатель,Abitante,居民,居民,주민,Mieszkaniec,Мешканець,Bewoner,Sakin
L_APOCALYPSE,,Apocalypse,アポカリプス,Apokalypse,Apocalypse,Apocalipsis,Apocalipse,Апокалипсис,Apocalisse,末日,末日,종말,Apokalipsa,Апокаліпсис,Apocalyps,Kıyamet
L_ASURA,,Asura,アスラ,Asura,Asura,Asura,Asura,Асура,Asura,阿修羅,阿修罗,아수라,Asura,Асура,Asura,Asura
L_AUTOMATON,,Automaton,オートマトン,Automat,Automate,Autómata,Autômato,Автоматон,Automa,自動機械人,自动机,자동인형,Automat,Автомат,Automaton,Otomat
L_BASILISK,,Basilisk,バジリスク,Basilisk,Basilic,Basilisco,Basilisco,Василиск,Basilisco,蛇怪,蛇怪,바실리스크,Bazyliszek,Василіск,Basilisk,Bazilisk
L_BAT,,Bat,コウモリ,Fledermaus,Chauve-souris,Murciélago,Morcego,Летучая мышь,Pipistrello,蝙蝠,蝙蝠,박쥐,Nietoperz,Кажан,Vleermuis,Yarasa
L_CARVER,,Carver,カーバー,Carver,Carver,Carver,Carver,Мясник,Carver,雕刻師,卡弗,카버,Rzeźbiarz,Карвер,Carver,Carver
L_CERBERUS,,Cerberus,ケルベロス,Zerberus,Cerbère,Cerbero,Cérbero,Цербер,Cerbero,地獄犬,刻耳柏洛斯,케르베로스,Cerber,Цербер,Cerberus,Kerberos
L_CLUTCHER,,Clutcher,クラッチャー,Greifer,Agrippeur,Agarrador,Agarrador,Хвататель,Afferratore,掠奪者,抓握者,클러처,Chwytacz,Хапун,Grijper,Kavrayıcı
L_COCKATRICE,,Cockatrice,コカトリス,Cockatrice,Cocatrice,Cocatriz,Cocatriz,Кокатрикс,Cockatrice,雞蛇獸,鸡蛇,코카트리스,Kokatryks,Кокатрикс,Basilisk,Basilisk
L_CONCOCTION,,Concoction,調合薬,Gebräu,Mixture,Brebaje,Poção,Раствор,Pozione,調製品,调制品,조합물,Mikstura,Зілля,Brouwsel,İksir
L_DEVIL,,Devil,悪魔,Teufel,Démon,Diablo,Demônio,Чёрт,Diavolo,惡魔,恶魔,악마,Diabeł,Диявол,Duivel,Şeytan
L_DIABOLIC_HORDE,,Diabolic Horde,悪魔の大群,Diabolische Horde,Horde Diabolique,Horda Diabólica,Horda Diabólica,Дьявольская Орда,Orda Diabolica,惡魔大軍,恶魔大军,악마의 무리,Diaboliczna Horda,Диявольська Орда,Duivelse Horde,Şeytani Sürü
L_DOOM_FORTRESS,,Doom Fortress,破滅の要塞,Festung des Untergangs,Forteresse du Destin,Fortaleza de la Perdición,Fortaleza da Ruína,Крепость Рока,Fortezza del Destino,厄運堡壘,末日堡垒,파멸의 요새,Twierdza Zagłady,Фортеця Загибелі,Verdoemenisvesting,Kıyamet Kalesi
L_DOOMGUARD,,Doomguard,ドゥームガード,Doomgarde,Garde du Destin,Guardia de la Perdición,Guarda da Ruína,Стражи Погибели,Guardia del Fato,厄運守衛,末日守卫,파멸의 수호자,Strażnik Zagłady,Варта Загибелі,Doemwacht,Kıyamet Muhafızı
L_FIEND,,Fiend,フィーンド,Unhold,Démon,Demonio,Demônio,Исчадие,Demone,魔物,魔物,마귀,Demon,Демон,Duivel,İblis
L_GARGOYLE,,Gargoyle,ガーゴイル,Gargoyle,Gargouille,Gárgola,Gárgula,Горгулья,Gargoyle,石像鬼,石像鬼,가고일,Gargulec,Горгулья,Waterspuwer,Gargoyl
L_HARPY,,Harpy,ハーピー,Harpyie,Harpie,Arpía,Harpia,Гарпия,Arpia,鷹身女妖,鹰身女妖,하피,Harpia,Гарпія,Harpij,Harpi
L_MANIAC,,Maniac,マニアック,Wahnsinniger,Maniaque,Maníaco,Maníaco,Маньяк,Maniaco,狂人,狂人,광인,Maniak,Маніяк,Maniak,Manyak
