Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_BRIMSTONE,,Brimstone,ブリムストーン,Schwefel,Soufre,Azufre,Enxofre,Сера,Zolfo,硫磺石,硫磺石,유황석,Siarka,Сірка,Zwavel,Kükürt
L_CRYSTAL,,Crystal,クリスタル,Kristall,Cristal,Cristal,Cristal,Кристаллы,Cristallo,水晶,水晶,크리스탈,Kryształ,Кристал,Kristal,Kristal
L_ESSENCE,,Essence,エッセンス,Essenz,Essence,Esencia,Essência,Эссенция,Essenza,精華,精华,정수,Esencja,Есенція,Essentie,Öz
L_GRANITE,,Granite,花崗岩,Granit,Granit,Granito,Granito,Гранит,Granito,花崗岩,花岗岩,화강암,Granit,Граніт,Graniet,Granit
L_POWER,,Power,パワー,Kraft,Puissance,Poder,Poder,Энергия,Potere,力量,力量,힘,Moc,Сила,Kracht,Güç
L_RESOURCES,,Resources,リソース,Ressourcen,Ressources,Recursos,Recursos,Ресурсы,Risorse,資源,资源,자원,Zasoby,Ресурси,Grondstoffen,Kaynaklar
L_EMBLEMS_OF,1 = god name,Emblems of {1},{1}の紋章,Embleme von {1},Emblèmes de {1},Emblemas de {1},Emblemas de {1},Эмблемы Бога {1},Emblemi di {1},{1}的紋章,{1}的徽章,{1}의 문장,Emblematy {1},Емблеми {1},Emblemen van {1},{1} Armaları
L_GLORY,,Glory,栄光,Ruhm,Gloire,Gloria,Glória,Слава,Gloria,榮耀,荣耀,영광,Chwała,Слава,Glorie,Zafer
L_NOTORIETY,,Notoriety,悪名,Berüchtigung,Notoriété,Notoriedad,Notoriedade,Скандал,Notorietà,惡名,恶名,악명,Niesława,Сумнозвісність,Beruchtheid,Kötü Şöhret
L_PIETY,,Piety,信仰,Frömmigkeit,Piété,Piedad,Piedade,Благочестие,Pietà,虔誠,虔诚,경건함,Pobożność,Благочестя,Vroomheid,Dindarlık
L_ENERGY,,Energy,エネルギー,Energie,Énergie,Energía,Energia,Энергия,Energia,能量,能量,에너지,Energia,Енергія,Energie,Enerji
L_STARDUST,,Stardust,スターダスト,Sternenstaub,Poussière d'étoile,Polvo estelar,Poeira Estelar,Звездная пыль,Polvere di Stelle,星塵,星尘,별의 먼지,Gwiezdny Pył,Зоряний пил,Sterrenstof,Yıldıztozu
L_ATTACK,,Attack,攻撃,Angriff,Attaque,Ataque,Atacar,Атака,Attacco,攻擊,攻击,공격,Atak,Атака,Aanval,Saldırı
